ui.status.ready,Ready.
ui.dialog.waveform_range.title,Waveform Y-Axis Range
ui.dialog.event_name.title,Edit Event Name
ui.dialog.websocket_server.title,WebSocket Server
ui.dialog.websocket_server.host,Host:
ui.dialog.websocket_server.port,Port:
ui.dialog.mqtt_server.title,MQTT Server
ui.dialog.mqtt_server.host,Host:
ui.dialog.mqtt_server.port,Port:
ui.dialog.voice_recognition.title,Voice Recognition
ui.dialog.voice_recognition.microphone,Microphone:
ui.dialog.voice_recognition.sensitivity,Sensitivity:
ui.dialog.voice_recognition.backend,Backend:
ui.dialog.voice_recognition.backend.vosk,Vosk (local)
ui.dialog.voice_recognition.backend.google,Google (online)
ui.dialog.voice_recognition.default_mic,Default microphone
ui.dialog.voice_recognition.group.microphones,Microphones
ui.dialog.voice_recognition.group.speakers,Speakers
ui.dialog.sfx_file.title,Select SFX File
ui.dialog.sfx_file.filter,Audio files (*.wav *.mp3 *.ogg *.flac *.m4a *.aac *.aiff *.opus *.wma);;All files (*.*)
ui.dialog.audio_stream_file.title,Select Audio Stream File
ui.dialog.audio_stream_file.filter,Audio files (*.wav *.mp3 *.ogg *.flac *.m4a *.aac *.aiff *.opus *.wma);;All files (*.*)
node.on_tick.name,On Tick
node.on_tick_custom.name,On Tick (Custom)
node.websocket_message.name,WebSocket Message
node.websocket_event.name,WebSocket Event
node.on_websocket_message.name,On WebSocket Message
node.on_websocket_event.name,On WebSocket Event
node.websocket_send_json.name,WebSocket Send JSON
node.mqtt_message.name,MQTT Message
node.mqtt_topic.name,MQTT Topic
node.on_mqtt_message.name,On MQTT Message
node.on_mqtt_topic.name,On MQTT Topic
node.mqtt_send.name,MQTT Send
node.voice_recognition.name,On Voice Detected
node.play_sfx.name,Play SFX
node.play_sfx.no_file,No file selected
node.play_sfx.missing_file,Missing file
node.audio_file_stream.name,Audio File Stream
node.audio_file_stream.no_file,No file selected
node.audio_file_stream.error,Decode error
node.audio_input_stream.name,Audio Input Stream
node.audio_input_stream.default_device,Default input device
node.audio_input_stream.loopback_unavailable,Speaker loopback is unavailable. Install pyaudiowpatch or enable a system loopback input such as Stereo Mix.
node.on_start.name,On Start
node.on_pause.name,On Pause
node.on_resume.name,On Resume
node.on_stop.name,On Stop
node.is_running.name,Is Running
node.router.name,Router
node.loop.name,Loop
node.loop_while.name,Loop While
node.equal.name,Equal
node.not_equal.name,Not Equal
node.greater.name,Greater
node.greater_or_equal.name,Greater or Equal
node.less.name,Less
node.less_or_equal.name,Less or Equal
node.select.name,Select
node.and.name,AND
node.or.name,OR
node.not.name,NOT
node.nand.name,NAND
node.nor.name,NOR
node.xor.name,XOR
node.xnor.name,XNOR
node.multiplexer.name,Multiplexer
node.demultiplexer.name,Demultiplexer
node.group.flow_events,Flow/Events
node.group.flow_status,Flow/Status
node.group.flow_redirect,Flow/Redirect
node.group.servers_websocket,Servers/WebSocket
node.group.servers_mqtt,Servers/MQTT
node.group.logic_comparison,Logic/Comparison
node.group.logic_combination,Logic/Combination
node.group.logic_routing,Logic/Routing
ui.ble_scan.title,Searching for Devices…
ui.ble_scan.searching_named,Searching for {name}…
ui.ble_scan.scanning,Scanning for nearby BLE devices…
ui.ble_scan.found_header,FOUND DEVICES
ui.ble_scan.no_devices_yet,No devices found yet…
ui.ble_scan.no_devices_found,No devices found.
ui.ble_scan.device_hint,Make sure your device is turned on and not connected to another app.
ui.ble_scan.retry_hint,"Ensure the device is on, in range, and not paired to another app. Click Scan Again to retry."
ui.ble_scan.found_named,Found: {name} — select and click Connect
ui.ble_scan.found_count,Found {count} device(s) — select one
ui.ble_scan.scan_failed,Scan failed
ui.ble_scan.error,Error: {msg}
ui.ble_scan.selected,Selected: {name} ({address})
ui.ble_scan.rssi,{rssi} dBm
ui.button.scan_again,Scan Again
ui.button.connect_plain,Connect
node.waveform_display.name,Waveform Display
node.vector4d.name,Vector4D
node.split_vector2d.name,Split Vector2D
node.split_vector3d.name,Split Vector3D
node.split_vector4d.name,Split Vector4D
node.dot_product.name,Dot Product
node.cross_product.name,Cross Product
node.color_add.name,Color Add
node.color_blend.name,Color Blend
node.datetime_difference.name,DateTime Difference
node.datetime_add_seconds.name,DateTime Add Seconds
node.low_pass_filter.name,Low Pass Filter
node.high_pass_filter.name,High Pass Filter
node.band_pass_filter.name,Band Pass Filter
node.random.name,Random
node.beep_pc.name,Beep (PC)
node.frequency_generator.name,Frequency Generator
node.sample_hold.name,Sample & Hold
node.sine_waveform.name,Sine Waveform
node.square_waveform.name,Square Waveform
node.sawtooth_waveform.name,Sawtooth Waveform
node.triangle_waveform.name,Triangle Waveform
node.trapezoidal_waveform.name,Trapezoidal Waveform
node.noise_waveform.name,Noise Waveform
node.ramp_waveform.name,Ramp Waveform
node.delta_time.name,Delta Time
node.countdown.name,Countdown
node.time_frequency.name,Time ↔ Frequency
node.any_float.name,Any → Float
node.any_int.name,Any → Int
node.any_bool.name,Any → Bool
node.any_string.name,Any → String
node.any_string_float.name,Any → String → Float
node.json_extract.name,JSON → Any
node.build_json.name,Any → JSON
node.group.conversion,Conversion
node.group.math_color,Math / Color
node.group.math_datetime,Math / DateTime
node.group.math_filters,Math / Filters
node.group.time_waveforms,Time/Waveforms
node.group.time_acquire,Time/Acquire
node.group.time_waiting,Time/Waiting
node.group.portals,Portals
node.rising_trigger.name,Rising Trigger
node.falling_trigger.name,Falling Trigger
node.ddr_trigger.name,DDR Trigger
node.group.triggers,Triggers
